dataset: wikitext103
attn_type: gqa
n_kv_head: 12
n_head: 12
n_layer: 8
n_embd: 768
batch_size: 32
block_size: 2048
gradient_accumulation_steps: 1
max_iters: 500
step,train_loss,val_loss,iter,loss,time_ms,mfu_pct
0,11.0030,11.0057,,,,
,,,0,10.9962,75862.55,-100.00
,,,10,9.2423,254.07,56.21
,,,20,8.2048,255.09,56.19
,,,30,7.3731,255.06,56.17
,,,40,6.9862,255.73,56.14
,,,50,6.7725,256.30,56.10
,,,60,6.6188,256.69,56.05
,,,70,6.4325,256.55,56.01
,,,80,6.2769,257.57,55.96
,,,90,6.1768,257.04,55.92
,,,100,6.1119,256.67,55.89
,,,110,6.0310,258.29,55.83
,,,120,5.9363,256.89,55.81
,,,130,5.9911,257.76,55.77
,,,140,5.9429,257.84,55.73
,,,150,5.8374,257.15,55.71
,,,160,5.8836,257.83,55.68
,,,170,5.7414,257.60,55.66
,,,180,5.6677,258.25,55.62
,,,190,5.7900,257.37,55.61
,,,200,5.5516,257.95,55.58
,,,210,5.7084,257.63,55.57
,,,220,5.5914,257.80,55.55
,,,230,5.6076,257.86,55.54
,,,240,5.6517,258.69,55.50
,,,250,5.6202,259.03,55.47
,,,260,5.4873,256.66,55.48
,,,270,5.5240,257.40,55.48
,,,280,5.4313,257.19,55.49
,,,290,5.4728,258.57,55.46
,,,300,5.4414,257.15,55.47
,,,310,5.5005,257.59,55.47
,,,320,5.3540,258.50,55.45
,,,330,5.3154,257.07,55.46
,,,340,5.3065,257.40,55.46
,,,350,5.4018,257.43,55.46
,,,360,5.3416,257.34,55.47
,,,370,5.1929,257.00,55.48
,,,380,5.1070,257.96,55.47
,,,390,5.1500,257.58,55.46
,,,400,5.2081,257.58,55.46
,,,410,5.1794,258.62,55.44
,,,420,5.1896,258.12,55.43
,,,430,5.0598,257.60,55.43
,,,440,5.2014,258.25,55.42
,,,450,5.0973,257.14,55.43
,,,460,5.1140,258.63,55.41
,,,470,5.1243,257.45,55.41
,,,480,5.0160,257.42,55.42
,,,490,5.0679,257.74,55.42
500,5.0002,4.9675,,,,
,,,500,4.8781,37165.93,49.92
