dataset: wikitext103
attn_type: mha
n_kv_head: 12
n_head: 12
n_layer: 8
n_embd: 768
batch_size: 32
block_size: 2048
gradient_accumulation_steps: 1
max_iters: 1000
step,train_loss,val_loss,iter,loss,time_ms,mfu_pct
0,10.9657,10.9675,,,,
,,,0,10.9658,72551.79,-100.00
,,,10,9.2924,262.43,57.82
,,,20,8.2568,262.76,57.81
,,,30,7.3755,262.92,57.80
,,,40,6.9394,263.45,57.78
,,,50,6.7947,263.84,57.76
,,,60,6.5996,264.20,57.72
,,,70,6.4989,264.09,57.70
,,,80,6.3500,264.26,57.67
,,,90,6.3555,264.35,57.64
,,,100,6.1437,264.61,57.61
,,,110,6.0293,264.66,57.58
,,,120,6.0518,265.91,57.53
,,,130,5.9942,264.59,57.51
,,,140,5.8447,264.74,57.49
,,,150,5.9106,264.13,57.49
,,,160,5.7548,264.55,57.48
,,,170,5.7142,264.48,57.47
,,,180,5.6685,265.02,57.45
,,,190,5.6621,265.38,57.42
,,,200,5.6753,266.10,57.38
,,,210,5.6940,265.01,57.37
,,,220,5.6060,266.14,57.33
,,,230,5.7555,264.73,57.33
,,,240,5.4263,265.20,57.32
,,,250,5.6018,266.00,57.29
,,,260,5.5104,265.00,57.29
,,,270,5.3920,265.16,57.28
,,,280,5.5176,264.80,57.28
,,,290,5.4499,264.56,57.29
,,,300,5.3676,265.15,57.29
,,,310,5.3276,265.49,57.27
,,,320,5.4535,265.36,57.26
,,,330,5.2497,265.26,57.26
,,,340,5.3323,265.73,57.24
,,,350,5.3010,265.95,57.22
,,,360,5.2909,265.01,57.23
,,,370,5.3568,265.40,57.22
,,,380,5.2843,265.87,57.21
,,,390,5.2119,264.58,57.22
,,,400,5.1737,264.75,57.23
,,,410,5.1062,265.61,57.22
,,,420,5.2181,265.24,57.22
,,,430,5.1495,265.39,57.22
,,,440,4.9770,265.71,57.20
,,,450,5.1025,264.52,57.22
,,,460,4.9234,266.76,57.19
,,,470,5.1344,264.36,57.21
,,,480,4.9997,264.65,57.22
,,,490,4.9689,264.97,57.23
500,4.9910,4.9541,,,,
,,,500,5.0511,39252.11,51.54
,,,510,4.8723,264.91,52.12
,,,520,4.9863,265.07,52.63
,,,530,4.9975,265.75,53.08
,,,540,4.9313,265.62,53.48
,,,550,4.7775,265.57,53.85
,,,560,4.8191,265.72,54.17
,,,570,4.8046,265.23,54.48
,,,580,4.8923,264.95,54.76
,,,590,4.6754,265.20,55.00
,,,600,4.7915,265.36,55.22
,,,610,4.7572,265.64,55.41
,,,620,4.7883,266.12,55.57
,,,630,4.8457,264.74,55.75
,,,640,4.7889,265.32,55.89
,,,650,4.7581,265.54,56.02
,,,660,4.6859,265.46,56.13
,,,670,4.7457,264.73,56.25
,,,680,4.6520,265.27,56.34
,,,690,4.6231,264.99,56.44
,,,700,4.6727,264.94,56.52
,,,710,4.6415,265.77,56.58
,,,720,4.5012,264.81,56.65
,,,730,4.6327,265.01,56.71
,,,740,4.5966,265.66,56.75
,,,750,4.5999,265.72,56.79
,,,760,4.6059,265.27,56.83
,,,770,4.5847,265.17,56.87
,,,780,4.5547,265.96,56.89
,,,790,4.4791,265.83,56.91
,,,800,4.6601,265.76,56.92
,,,810,4.6373,264.59,56.97
,,,820,4.4620,265.69,56.98
,,,830,4.4575,265.20,57.01
,,,840,4.4356,265.52,57.02
,,,850,4.5650,264.11,57.06
,,,860,4.4548,263.97,57.11
,,,870,4.5799,265.64,57.11
,,,880,4.5198,265.95,57.10
,,,890,4.5992,264.83,57.12
,,,900,4.4643,264.26,57.15
,,,910,4.4474,265.02,57.16
,,,920,4.5273,265.42,57.16
,,,930,4.5260,265.40,57.16
,,,940,4.4884,266.00,57.15
,,,950,4.4997,264.90,57.16
,,,960,4.5173,265.03,57.17
,,,970,4.4772,264.35,57.20
,,,980,4.5009,265.31,57.20
,,,990,4.4918,265.15,57.20
1000,4.4461,4.4175,,,,
,,,1000,4.5320,38874.50,51.52
