dataset: wikitext103
attn_type: mqa
n_kv_head: 0
n_head: 12
n_layer: 8
n_embd: 768
batch_size: 32
block_size: 2048
gradient_accumulation_steps: 1
max_iters: 500
step,train_loss,val_loss,iter,loss,time_ms,mfu_pct
0,10.9321,10.9363,,,,
,,,0,10.9356,61369.91,-100.00
,,,10,9.3204,255.77,55.06
,,,20,8.2392,255.22,55.08
,,,30,7.4211,255.05,55.09
,,,40,6.9935,255.59,55.09
,,,50,6.7337,258.85,55.02
,,,60,6.6694,256.64,55.01
,,,70,6.5317,256.84,54.99
,,,80,6.3083,256.54,54.98
,,,90,6.2797,257.04,54.96
,,,100,6.2384,257.41,54.94
,,,110,6.0226,257.10,54.92
,,,120,6.0369,258.14,54.89
,,,130,5.9758,257.60,54.86
,,,140,5.9387,257.12,54.86
,,,150,5.8517,257.16,54.85
,,,160,5.9031,257.43,54.83
,,,170,5.8274,258.04,54.81
,,,180,5.6899,257.73,54.79
,,,190,5.6799,258.97,54.75
,,,200,5.7679,258.15,54.73
,,,210,5.7110,258.15,54.71
,,,220,5.6208,258.77,54.69
,,,230,5.6424,258.47,54.67
,,,240,5.5832,257.07,54.68
,,,250,5.5727,258.24,54.66
,,,260,5.5265,257.81,54.66
,,,270,5.4407,258.07,54.65
,,,280,5.4744,257.68,54.65
,,,290,5.5254,257.91,54.65
,,,300,5.3660,258.48,54.63
,,,310,5.3945,257.76,54.63
,,,320,5.3887,258.18,54.62
,,,330,5.3075,257.16,54.64
,,,340,5.4125,259.06,54.61
,,,350,5.2646,257.59,54.62
,,,360,5.3795,258.37,54.61
,,,370,5.2360,257.56,54.61
,,,380,5.3663,258.82,54.59
,,,390,5.2675,257.83,54.60
,,,400,5.2574,258.13,54.59
,,,410,5.2199,257.97,54.59
,,,420,5.3000,258.33,54.59
,,,430,5.1154,258.62,54.57
,,,440,5.2222,257.10,54.59
,,,450,5.1325,257.77,54.60
,,,460,5.0402,259.11,54.57
,,,470,5.1430,257.91,54.58
,,,480,5.0369,257.62,54.59
,,,490,5.1355,258.14,54.58
500,5.0225,4.9806,,,,
,,,500,4.9650,36367.81,49.16
