dataset: wikitext103
attn_type: mha
n_kv_head: 0
n_head: 12
n_layer: 8
n_embd: 768
batch_size: 32
block_size: 2048
gradient_accumulation_steps: 1
max_iters: 500
step,train_loss,val_loss,iter,loss,time_ms,mfu_pct
0,10.9649,10.9666,,,,
,,,0,10.9651,63136.30,-100.00
,,,10,9.2894,261.40,58.05
,,,20,8.2536,262.67,58.02
,,,30,7.3726,263.20,57.98
,,,40,6.9383,262.14,57.97
,,,50,6.8020,263.86,57.93
,,,60,6.6063,263.84,57.89
,,,70,6.4946,265.22,57.82
,,,80,6.3492,264.97,57.76
,,,90,6.3645,265.81,57.70
,,,100,6.1415,264.53,57.66
,,,110,6.0257,264.35,57.64
,,,120,6.0522,265.68,57.58
,,,130,5.9931,264.69,57.56
,,,140,5.8472,265.15,57.53
,,,150,5.9131,265.02,57.50
,,,160,5.7620,265.83,57.46
,,,170,5.7212,265.72,57.42
,,,180,5.6718,264.75,57.41
,,,190,5.6616,265.57,57.38
,,,200,5.6708,264.64,57.38
,,,210,5.6960,264.85,57.37
,,,220,5.6082,265.52,57.35
,,,230,5.7494,264.42,57.35
,,,240,5.4284,265.20,57.34
,,,250,5.6053,264.99,57.33
,,,260,5.5083,265.35,57.32
,,,270,5.3912,264.52,57.32
,,,280,5.5161,264.79,57.32
,,,290,5.4476,264.63,57.32
,,,300,5.3662,264.82,57.32
,,,310,5.3307,264.94,57.32
,,,320,5.4588,266.21,57.28
,,,330,5.2506,264.09,57.30
,,,340,5.3322,265.95,57.28
,,,350,5.3044,265.76,57.26
,,,360,5.2943,265.38,57.25
,,,370,5.3586,264.95,57.25
,,,380,5.2901,266.19,57.23
,,,390,5.2127,265.60,57.22
,,,400,5.1733,264.36,57.24
,,,410,5.1141,264.53,57.25
,,,420,5.2214,265.34,57.24
,,,430,5.1466,265.17,57.24
,,,440,4.9816,265.13,57.24
,,,450,5.1050,264.02,57.26
,,,460,4.9256,264.16,57.28
,,,470,5.1369,264.35,57.29
,,,480,4.9947,262.54,57.34
,,,490,4.9666,263.98,57.36
500,4.9915,4.9542,,,,
,,,500,5.0499,37185.93,51.66
