dataset: wikitext103
attn_type: mha
n_kv_head: 0
n_head: 12
n_layer: 8
n_embd: 768
batch_size: 32
block_size: 2048
gradient_accumulation_steps: 1
max_iters: 500
step,train_loss,val_loss,iter,loss,time_ms,mfu_pct
0,10.9702,10.9718,,,,
,,,0,10.9694,57863.46,-100.00
,,,10,9.2066,260.91,58.16
,,,20,8.2454,263.02,58.11
,,,30,7.3671,261.91,58.09
,,,40,6.9330,262.71,58.06
,,,50,6.7875,262.39,58.04
,,,60,6.5894,262.91,58.01
,,,70,6.4955,263.27,57.97
,,,80,6.3650,263.25,57.94
,,,90,6.3474,263.76,57.90
,,,100,6.1449,263.64,57.86
,,,110,6.0394,263.99,57.82
,,,120,6.0631,263.61,57.80
,,,130,6.0077,263.69,57.77
,,,140,5.8511,264.67,57.73
,,,150,5.9275,263.95,57.70
,,,160,5.7809,264.37,57.67
,,,170,5.7308,263.80,57.66
,,,180,5.6832,264.23,57.63
,,,190,5.6857,264.63,57.61
,,,200,5.6935,263.88,57.59
,,,210,5.7084,265.19,57.56
,,,220,5.6329,263.68,57.56
,,,230,5.7719,264.77,57.53
,,,240,5.4522,264.61,57.51
,,,250,5.6289,264.10,57.51
,,,260,5.5351,263.86,57.51
,,,270,5.4232,263.73,57.51
,,,280,5.5524,264.85,57.49
,,,290,5.4880,263.86,57.49
,,,300,5.4081,265.21,57.46
,,,310,5.3721,264.61,57.45
,,,320,5.4959,264.34,57.45
,,,330,5.2996,264.11,57.45
,,,340,5.3817,263.60,57.46
,,,350,5.3507,264.33,57.45
,,,360,5.3471,263.88,57.46
,,,370,5.4140,264.69,57.45
,,,380,5.3397,264.61,57.44
,,,390,5.2697,263.94,57.44
,,,400,5.2371,263.99,57.44
,,,410,5.1812,264.03,57.45
,,,420,5.2858,264.72,57.43
,,,430,5.2155,265.10,57.42
,,,440,5.0603,264.86,57.40
,,,450,5.1787,264.04,57.41
,,,460,5.0034,264.48,57.41
,,,470,5.2051,266.48,57.36
,,,480,5.0752,264.78,57.35
,,,490,5.0498,264.79,57.35
500,5.0791,5.0402,,,,
,,,500,5.1385,37113.78,51.66
