dataset: wikitext103
attn_type: gqa
n_kv_head: 1
n_head: 8
n_layer: 8
n_embd: 512
batch_size: 64
block_size: 2048
gradient_accumulation_steps: 1
max_iters: 3000
step,train_loss,val_loss,iter,loss,time_ms,mfu_pct
0,10.9185,10.9163,,,,
,,,0,10.9208,49674.23,-100.00
,,,10,9.8035,333.17,48.43
,,,20,8.9282,332.32,48.44
,,,30,8.1762,331.34,48.47
,,,40,7.4225,332.24,48.48
,,,50,6.9503,333.14,48.47
,,,60,6.7966,334.24,48.45
,,,70,6.5422,333.70,48.44
,,,80,6.4308,333.20,48.44
,,,90,6.2338,334.32,48.42
,,,100,6.1347,334.89,48.40
,,,110,6.0823,333.89,48.39
,,,120,5.9804,334.89,48.37
,,,130,5.9299,334.13,48.36
,,,140,5.9280,334.26,48.35
,,,150,5.8687,334.35,48.34
,,,160,5.7764,335.32,48.32
,,,170,5.7200,333.89,48.32
,,,180,5.7217,334.68,48.31
,,,190,5.6820,334.75,48.30
,,,200,5.6461,333.94,48.30
,,,210,5.5096,334.61,48.29
,,,220,5.5540,334.34,48.29
,,,230,5.5582,334.04,48.29
,,,240,5.5027,333.99,48.29
,,,250,5.5198,335.13,48.28
,,,260,5.4814,335.08,48.27
,,,270,5.4717,332.95,48.29
,,,280,5.3448,334.15,48.29
,,,290,5.3483,334.89,48.28
,,,300,5.3160,333.47,48.29
,,,310,5.3516,334.69,48.28
,,,320,5.2864,334.81,48.27
,,,330,5.2061,335.16,48.26
,,,340,5.1888,333.95,48.26
,,,350,5.2553,334.46,48.26
,,,360,5.1562,334.31,48.26
,,,370,5.1484,334.31,48.26
,,,380,5.1628,334.44,48.26
,,,390,5.0822,334.27,48.26
,,,400,5.0491,334.31,48.26
,,,410,5.0028,335.16,48.25
,,,420,5.0392,334.18,48.25
,,,430,5.0518,333.53,48.27
,,,440,5.0361,334.77,48.26
,,,450,5.0722,335.19,48.25
,,,460,5.0178,334.05,48.25
,,,470,4.9249,334.07,48.26
,,,480,4.8827,334.67,48.25
,,,490,4.9236,334.11,48.26
500,4.8835,4.8454,,,,
,,,500,4.7801,45630.89,43.47
,,,510,4.8198,333.71,43.95
,,,520,4.8083,333.21,44.40
,,,530,4.8295,334.04,44.79
,,,540,4.8123,335.12,45.13
,,,550,4.7493,334.19,45.44
,,,560,4.7272,333.10,45.74
,,,570,4.7760,333.95,46.00
,,,580,4.7195,335.07,46.22
,,,590,4.7003,334.76,46.41
,,,600,4.7411,334.07,46.60
,,,610,4.6680,334.34,46.77
,,,620,4.6902,333.91,46.92
,,,630,4.5432,334.12,47.06
,,,640,4.5726,333.33,47.20
,,,650,4.5032,334.23,47.30
,,,660,4.5166,335.10,47.39
,,,670,4.5584,333.91,47.48
,,,680,4.4861,333.26,47.57
,,,690,4.3976,334.21,47.65
,,,700,4.5713,335.16,47.69
,,,710,4.4243,334.03,47.76
,,,720,4.4499,334.89,47.80
,,,730,4.5133,334.16,47.85
,,,740,4.5070,333.42,47.90
,,,750,4.4005,335.28,47.92
,,,760,4.3918,334.42,47.96
,,,770,4.4513,334.41,47.99
,,,780,4.2414,334.21,48.02
,,,790,4.3774,334.70,48.03
,,,800,4.4091,335.13,48.05
,,,810,4.3430,334.79,48.06
,,,820,4.3705,334.81,48.07
,,,830,4.2238,335.07,48.08
,,,840,4.3150,334.84,48.09
,,,850,4.2961,336.71,48.08
,,,860,4.3248,334.46,48.09
,,,870,4.3426,335.04,48.10
,,,880,4.2445,334.74,48.11
,,,890,4.2294,334.14,48.13
,,,900,4.2379,334.67,48.14
,,,910,4.1429,333.41,48.16
,,,920,4.1639,334.44,48.17
,,,930,4.1478,334.34,48.18
,,,940,4.1703,334.08,48.19
,,,950,4.2162,333.51,48.21
,,,960,4.1755,333.74,48.22
,,,970,4.1908,334.37,48.23
,,,980,4.1697,333.82,48.24
,,,990,4.1429,333.92,48.25
1000,4.1039,4.0948,,,,
,,,1000,4.1251,47410.13,43.46
,,,1010,4.1387,335.05,43.93
,,,1020,4.0481,334.38,44.36
,,,1030,4.0236,333.81,44.76
,,,1040,4.0896,333.96,45.11
,,,1050,4.0546,335.40,45.41
,,,1060,4.0456,334.66,45.69
,,,1070,4.0924,335.07,45.94
,,,1080,4.0319,334.08,46.17
,,,1090,4.0615,333.74,46.39
,,,1100,3.9333,333.76,46.59
,,,1110,4.0437,333.29,46.77
,,,1120,4.0295,334.42,46.92
,,,1130,3.8786,333.45,47.06
,,,1140,3.9471,334.31,47.18
,,,1150,3.9469,335.36,47.28
,,,1160,3.9387,334.25,47.38
,,,1170,3.9543,308.04,47.88
,,,1180,3.9170,334.80,47.91
,,,1190,3.9637,333.97,47.95
,,,1200,3.9115,333.90,47.99
,,,1210,3.8401,337.91,47.96
,,,1220,3.9441,334.03,48.00
,,,1230,3.7564,334.70,48.02
,,,1240,3.8154,334.55,48.04
,,,1250,3.8453,333.99,48.07
,,,1260,3.7831,334.68,48.08
,,,1270,3.8530,333.84,48.11
,,,1280,3.7658,333.90,48.13
,,,1290,3.9009,333.21,48.16
,,,1300,3.7234,333.53,48.18
,,,1310,3.8365,332.53,48.21
,,,1320,3.7169,333.59,48.23
,,,1330,3.8197,334.03,48.24
,,,1340,3.8274,335.80,48.22
,,,1350,3.7627,334.30,48.22
,,,1360,3.6852,335.44,48.21
,,,1370,3.8233,334.16,48.22
,,,1380,3.7643,333.78,48.23
,,,1390,3.7194,335.23,48.22
,,,1400,3.7001,334.01,48.23
,,,1410,3.6962,335.02,48.22
,,,1420,3.7104,334.34,48.23
,,,1430,3.7217,335.38,48.21
,,,1440,3.7653,333.96,48.22
,,,1450,3.7299,334.46,48.23
,,,1460,3.6780,335.48,48.21
,,,1470,3.6355,335.57,48.20
,,,1480,3.8385,334.19,48.21
,,,1490,3.6525,334.32,48.21
1500,3.6793,3.6847,,,,
,,,1500,3.7199,46843.47,43.43
,,,1510,3.7295,333.89,43.92
,,,1520,3.7197,334.21,44.35
,,,1530,3.6608,335.98,44.72
,,,1540,3.7066,335.05,45.06
,,,1550,3.6791,334.76,45.38
,,,1560,3.6561,334.72,45.66
,,,1570,3.7169,334.31,45.92
,,,1580,3.6462,334.75,46.15
,,,1590,3.6078,335.88,46.34
,,,1600,3.5604,334.52,46.53
,,,1610,3.7129,334.78,46.69
,,,1620,3.6727,335.19,46.84
,,,1630,3.6844,335.40,46.97
,,,1640,3.7008,335.07,47.08
,,,1650,3.6203,335.55,47.18
,,,1660,3.4733,335.55,47.27
,,,1670,3.5952,335.23,47.36
,,,1680,3.6656,167.12,52.28
,,,1690,3.6401,335.82,51.86
,,,1700,3.6283,335.44,51.48
,,,1710,3.5832,335.15,51.15
,,,1720,3.6868,335.20,50.85
,,,1730,3.5060,262.22,51.91
,,,1740,3.6281,335.91,51.53
,,,1750,3.6521,336.01,51.18
,,,1760,3.5416,335.81,50.86
,,,1770,3.4982,335.52,50.59
,,,1780,3.5422,335.97,50.33
,,,1790,3.5579,336.65,50.09
,,,1800,3.4973,336.05,49.88
,,,1810,3.5616,336.59,49.69
,,,1820,3.5701,335.49,49.53
,,,1830,3.4456,335.05,49.39
,,,1840,3.5458,335.87,49.26
,,,1850,3.5169,337.17,49.12
,,,1860,3.6103,336.38,49.00
,,,1870,3.5483,335.38,48.91
,,,1880,3.5759,335.47,48.83
,,,1890,3.5394,335.27,48.76
,,,1900,3.6483,335.73,48.69
,,,1910,3.5945,335.10,48.64
,,,1920,3.5587,335.41,48.58
,,,1930,3.5017,336.40,48.52
,,,1940,3.6168,335.65,48.48
,,,1950,3.4399,336.12,48.43
,,,1960,3.4559,335.53,48.40
,,,1970,3.4217,336.35,48.35
,,,1980,3.4867,335.72,48.32
,,,1990,3.5472,335.40,48.30
2000,3.4930,3.5102,,,,
,,,2000,3.4823,47686.51,43.51
