dataset: wikitext103
attn_type: mha
n_kv_head: 8
n_head: 8
n_layer: 8
n_embd: 512
batch_size: 64
block_size: 2048
gradient_accumulation_steps: 1
max_iters: 3000
step,train_loss,val_loss,iter,loss,time_ms,mfu_pct
0,10.9394,10.9400,,,,
,,,0,10.9411,119972.94,-100.00
,,,10,9.7791,333.91,51.09
,,,20,8.8608,334.62,51.08
,,,30,8.1173,334.13,51.08
,,,40,7.3877,336.29,51.04
,,,50,6.9107,335.95,51.02
,,,60,6.7334,335.94,50.99
,,,70,6.5656,337.38,50.95
,,,80,6.4415,337.22,50.92
,,,90,6.3006,336.78,50.89
,,,100,6.1494,336.89,50.87
,,,110,6.0330,30.09,102.47
,,,120,5.9804,337.63,97.28
,,,130,6.0003,338.66,92.59
,,,140,5.9239,339.68,88.35
,,,150,5.8573,337.86,84.57
,,,160,5.7709,338.84,81.14
,,,170,5.7858,338.01,78.08
,,,180,5.7042,338.37,75.31
,,,190,5.6623,339.89,72.80
,,,200,5.6079,338.07,70.57
,,,210,5.5939,338.95,68.54
,,,220,5.5798,338.35,66.73
,,,230,5.5690,339.32,65.09
,,,240,5.5050,338.44,63.62
,,,250,5.4517,338.29,62.30
,,,260,5.4335,338.09,61.12
,,,270,5.4516,339.58,60.03
,,,280,5.4205,339.63,59.05
,,,290,5.4119,340.02,58.16
,,,300,5.3346,338.20,57.39
,,,310,5.3309,338.63,56.69
,,,320,5.3318,338.00,56.07
,,,330,5.2197,337.81,55.51
,,,340,5.1750,339.09,54.99
,,,350,5.1088,337.86,54.54
,,,360,5.2292,338.36,54.13
,,,370,5.1270,338.03,53.76
,,,380,5.0963,338.67,53.42
,,,390,5.1106,338.96,53.12
,,,400,5.0162,337.44,52.86
,,,410,5.0419,337.81,52.62
,,,420,5.0506,860.78,49.34
,,,430,4.9776,338.02,49.46
,,,440,4.9123,337.82,49.56
,,,450,4.9156,337.57,49.66
,,,460,4.8951,338.73,49.73
,,,470,4.8895,339.30,49.78
,,,480,4.9512,338.74,49.84
,,,490,4.9193,339.32,49.89
500,4.8459,4.8174,,,,
,,,500,4.8425,50569.65,44.93
